"restaurant";"type";"prix";"nom";"description"
"Libshop - Bercy";;"6";"Soupe de lentilles corail";"Végétalien, et sans gluten."
"Libshop - Bercy";"burger";"16";"Menu Lib'Burger";"Un Lib'Burger au choix, un accompagnement et une boisson soft au choix."
"Libshop - Bercy";;"36";"Le coffret végétarien pour 2";"8 mezzés faits maison (houmous, tzatziki, caviar d'aubergine et taboulé) + 2 box falafels + 2 galettes de pain."
"Libshop - Bercy";"burger";"13";"Lib'Burger - Falafel";"Le burger végétarien by Libshop avec son steak falafel, sauce tzatziki, sauce tahina, salade, tomate et crudités."
"Libshop - Bercy";;"15";"Le Basique";"1 pita au choix, 1 accompagnement \"110 g\" au choix et 1 pain libanais."
"Libshop - Bercy";;"10";"Le voyageur";"Galette végétarienne libanaise \"connue sous le nom de Zaatar\" à base de thym libanais, huile d'olive, sésames, tomates, et olives."
"Libshop - Bercy";;"17,5";"Le Lib'Healthy";"Le concentré de santé : un plat au choix sain et équilibré plus un accompagnement. "
"Libshop - Bercy";"drink";"2,8";"Perrier";"33 cl."
"Libshop - Bercy";;"4,5";"Loukoums";"Petit pot de loukoums aromatisés, et saupoudrés de sucre glace, végétalien. "
"Libshop - Bercy";"drink";"2,8";"Coca-cola";"33 cl."
"Libshop - Bercy";;"10";"Le chawarma";"Émincé de bavette de bœuf mariné."
"Libshop - Bercy";"drink";"2,8";"7up mojito";"33 cl."
"Libshop - Bercy";;"6";"Houmous";"Purée de pois chiches faite maison, végétalien, et sans gluten."
"Libshop - Bercy";"salad";"6";"Taboulé libanais";"L'or vert du Liban, véritable concentré de micronutriments protecteurs en salade, végétalien. "
"Libshop - Bercy";;"17";"Le coffret lib' tasty";"1 pita au choix, 3 mini-mezzés faits maison (taboulé, houmous et caviar d'aubergine), 1 pain libanais, et une boisson au choix."
"Libshop - Bercy";"salad";"15,9";"La Bowl Falafel";"Minifels, tomates cerises, carottes râpées, choux rouges, salade, ciboulette, radis, boulgour maison, menthe, persil."
"Libshop - Bercy";;"19,9";"Le coffret lib' box";"Un plat sain en box accompagné des trois mezzés libanais phares \"taboulé, houmous et caviar d'aubergine\", 1 pain libanais, 1 boisson au choix."
"Libshop - Bercy";"alcohol";"8";"Vin rosé Ksara Sunset";"1/2 bouteille et 75 cl."
"Libshop - Bercy";;"15";"Le coffret lib' twin";"Menu grosse faim : 2 pitas, 1 boisson"
"Libshop - Bercy";;"11";"Le requin blanc";"Le poulet dans sa version maxi, avec en prime du fromage fondant."
"Libshop - Bercy";;"10";"Le falafel";"Végétarien. "
"Libshop - Bercy";"burger";"13";"Lib'Burger - Boeuf";"Le classique burger réinventé par Libshop avec de la viande de boeuf assaisonnée, du fromage Halloumi, salade, tomates, oignons frits et un oeuf."
"Libshop - Bercy";;"10";"Le pacha";"Boulettes de steak haché persillées, et épicées."
"Libshop - Bercy";;"4,5";"Yaourt grec au miel";"Yaourt épais à la grecque agrémenté de miel, végétarien."
"Libshop - Bercy";;"14";"La box barbare";"Le Kebab, mais façon Libshop, servi avec pommes de terre, légumes, et boulgour."
"Libshop - Bercy";;"2,8";"Minute maid orange";"33 cl."
"Libshop - Bercy";;"6";"Caviar d'aubergine";"A base d'aubergines cuites au four puis réduites en purée, végétalien, et sans gluten."
"Libshop - Bercy";"sandwich";"10";"Le barbare";"Le sandwich kebab, mais façon Libshop, dans notre pain fin, et allégé."
"Libshop - Bercy";;"4,5";"Halwa";"A base de sésame farci de pistaches, végétalien, et sans gluten."
"Libshop - Bercy";;"19";"Le \"Champion du monde\"";"1 pita au choix, 1 accompagnement \"110 g\" au choix et 1 pain libanais, et 1 dessert au choix."
"Libshop - Bercy";;"3,5";"Yaourt grec nature 0%";"Végétarien."
"Libshop - Bercy";"drink";"2,8";"Coca-cola zéro";"33 cl."
"Libshop - Bercy";"alcohol";"3";"Bière libanaise Almaza";""
"Libshop - Bercy";"burger";"13";"Lib'Burger - Poulet";"Le burger poulet by Libshop avec salade, tomates, sauce à l'ail et sauce tahina, fromage et oignons frits."
"Libshop - Bercy";"salad";"11";"La salade fêta";"Une salade fraîche à base de fromage fêta, roquette, tomates, olives, ciboulette, et accompagnée de sa sauce maison à base de jus de grenade."
"Libshop - Bercy";;"4,5";"Flan libanais";"Notre \"mouhalabieh\" maison, parfumé à la fleur d'oranger, et émaillé de pistaches, végétarien."
"Libshop - Bercy";"salad";"10";"Le Paris-Beyrouth";"A base de jambon de dinde, fromage, olives, et salade."
"Libshop - Bercy";"salad";"16";"Le coffret lib'light";"1 salade au choix, 1 boisson au choix et 1 dessert au choix."
"Libshop - Bercy";"drink";"2,8";"Ice tea pêche";"33 cl."
"Libshop - Bercy";"alcohol";"13";"Vin rouge Cave Kouroum";"Vendange de cinsault, grenache, carignan, et de syrah."
"Libshop - Bercy";;"11";"Le W";"Maxi-chawarma avec en prime du fromage fondant."
"Libshop - Bercy";;"14";"La box chawarma";"Émincé de viande de bœuf marinée, pommes de terre, légumes, et boulgour."
"Libshop - Bercy";"salad";"11";"La salade de poulet";"Une salade fraîche à base de blanc de poulet, quinoa, tomates, roquette, et accompagnée de sa sauce maison à base de jus de grenade."
"Libshop - Bercy";"alcohol";"4,95";"Bière Libanaise Almaza";""
"Libshop - Bercy";;"14";"La box pacha";"Boulettes de steak haché persillées et épicées \"kefta\", légumes, pommes de terre, et boulgour."
"Libshop - Bercy";;"8";"Cornet de minifels";"Un cornet de mini-falafels à picorer, accompagné de leur mini-tzatziki."
"Little Cantine";"burger";"11,8";"Burger soho";"Boeuf \"cuisson au choix\", cheddar, guacamole maison, oignions rouges crus, pickles et sauce little spicy."
"Little Cantine";"burger";"11,8";"Burger du moment";"boeuf aubrac, fromage à raclette, lardons fumés, feuille de chêne et sauce béarnaise "
"Little Cantine";;"12";"Crispy Fish";"3 bâtonnets de dos de cabillaud frais, coriandre, citron, sauce tartare (no buns)"
"Little Cantine";"burger";"11,8";"Burger frenchy";"Boeuf \"cuisson au choix\", saint nectaire, confiture de figues et noix, roquette et mayonnaise au pistou."
"Little Cantine";;"4";"ChariTea green";""
"Little Cantine";;"6";"Poiré artisanal";""
"Little Cantine";;"6";"Cidre artisanal Sassy";""
"Little Cantine";"drink";"3";"Orangina";""
"Little Cantine";"burger";"11,8";"Burger veggie";"Galette de falafel maison, humus de betterave, concombre & choux blanc mariné au vinaigre de riz, crème de philadelphia citronnée, oignons rouges & coriandre"
"Little Cantine";"burger";"11,8";"Burger little César";"Filet de poulet et chapelure maison, poivrons rouges marinées, roquette et sauce césar maison."
"Little Cantine";;"5";"Crumble aux fruits";""
"Little Cantine";;"6";"Quesadillas";"Poulet mariné, cheddar et cream cheese aux herbes accompagné d'une sauce salsa"
"Little Cantine";;"6";"Gallia blanche au blé";""
"Little Cantine";;"6";"Gallia blonde";""
"Little Cantine";"drink";"3,2";"San Pellegrino";"50 cl."
"Little Cantine";"burger";"11,8";"Burger dude";"Boeuf \"cuisson au choix\", cheddar, confit d'oignions caramélisés, poitrine fumée, pickles et sauce barbecue."
"Little Cantine";"burger";"11,8";"Burger chill";"Boeuf \"cuisson au choix\", comté, pousse d'épinards, concassé de tomates fraîches, oignons rouges crus, pickles et mayonnaise aux herbes."
"Little Cantine";;"6";"Croquetas du chef";""
"Little Cantine";;"4";"Maté";""
"Little Cantine";;"3,5";"Frites maison";"Mayonnaise aux herbes."
"Little Cantine";"drink";"5";"Moelleux au chocolat";""
"Little Cantine";"drink";"3";"Ice Tea pêche";""
"Little Cantine";"dessert";"6";"Cheesecake et coulis fruits rouges";""
"Little Cantine";;"3,5";"Jus ACE";""
"Little Cantine";;"3";"Dr Pepper";""
"Little Cantine";"drink";"3";"Coca Cola";""
"Little Cantine";"side";"6";"Guacamole maison et chips";""
"Little Cantine";"burger";"11,8";"Burger calvi";"Boeuf \"cuisson au choix\", chutney de tomates et d'oignions confits, roquette et dijionnaise au miel."
"Little Cantine";"drink";"3";"Coca Cola zero";""
"Little Cantine";"salad";"3,5";"Salade verte";""
"Little Cantine";;"3,2";"Evian";"50 cl."
"Magnum - Beaubourg";"drink";"8,5";"Pot Amande";"Crème glacée vanille avec des éclats et une coque de chocolat au lait aux amandes - 440 ml (Contient: soja, lait, fruits à coque)\n                                                                                                                (Informations produit disponibles sur www.magnumicecream.com/fr)"
"Magnum - Beaubourg";"drink";"3,5";"Batonnet Praliné";"Glace noisette et chocolat au lait enrobée de chocolat belge au lait et de morceaux de noisettes caramélisées. (Contient: soja, lait, fruits à coque)\n                                                                                                                (Informations produit disponibles sur www.magnumicecream.com/fr)"
"Magnum - Beaubourg";"drink";"3,5";"Batonnet Classic";"Glace vanille enrobée de chocolat au lait. (Contient: soja, lait)\n                                                                                                                (Informations produit disponibles sur www.magnumicecream.com/fr)"
"Magnum - Beaubourg";;"24";"3 Pots";"Parfums au choix - Amande, Classic ou Blanc - 440 ml                                                           \n                                                                                                         (Informations produits disponibles sur www.magnumicecream.com/fr)"
"Magnum - Beaubourg";"drink";"8,5";"Pot Classic";"Crème glacée vanille avec des éclats et une coque de chocolat au lait - 440 ml (Contient: soja, lait)\n                                                                                                                (Informations produit disponibles sur www.magnumicecream.com/fr)"
"Magnum - Beaubourg";"drink";"3,5";"Batonnet Blanc";"Glace vanille enrobée de chocolat blanc. (Contient : lait)\n                                                                                                                (Informations produit disponibles sur www.magnumicecream.com/fr)"
"Magnum - Beaubourg";"drink";"4";"Double Chocolat";"Glace au chocolat au lait, enrobage au cacao maigre, sauce au chocolat au lait et second enrobage de chocolat au lait. (Contient: lait)\n                                                                                                                (Informations produit disponibles sur www.magnumicecream.com/fr)"
"Magnum - Beaubourg";"drink";"8,5";"Pot Blanc";"Crème glacée vanille avec des éclats et une coque de chocolat blanc - 440 ml (Contient: lait)\n                                                                                                                (Informations produit disponibles sur www.magnumicecream.com/fr)    "
"Magnum - Beaubourg";;"19";"2 Grands Pots + 1 Bâtonnet";"2 Grands Pots (440ml) + 1 Bâtonnet "
"Magnum - Beaubourg";"drink";"4";"Double Framboise";"Glace à la framboise, enrobage au cacao maigre, sauce à la framboise et second enrobage de chocolat au lait. (Contient: lait)\n                                                                                                                (Informations produit disponibles sur www.magnumicecream.com/fr)"
"Magnum - Beaubourg";"drink";"4";"Double Caramel";"Glace vanille, enrobage au cacao maigre, sauce caramel et second enrobage de chocolat au lait. (Contient: lait)\n                                                                                                                (Informations produit disponibles sur www.magnumicecream.com/fr)"
"Magnum - Beaubourg";"drink";"8,5";"Pot Framboise";"Crème glacée framboise avec des éclats et une coque de chocolat noir- 440 ml (Contient: soja, lait)\n                                                                                                                (Informations produit disponibles sur www.magnumicecream.com/fr)    "
"Magnum - Beaubourg";"drink";"3,5";"Batonnet Amande";"Glace vanille enrobée de chocolat au lait et d'amandes. (Contient: lait, fruits à coque)\n                                                                                                                (Informations produit disponibles sur www.magnumicecream.com/fr)"
"Magnum - Beaubourg";"drink";"8,5";"Pot Praliné";"Crème glacée chocolat et glace parfum noisette avec chocolat au lait et des morceaux de noisettes caramélisées- 440 ml (Contient: soja, lait, fruits à coque)\n                                                                                                                (Informations produit disponibles sur www.magnumicecream.com/fr)    "
"Magnum - Beaubourg";;"16";"2 Pots";"Parfums au choix - Amande, Classic ou Blanc - 440 ml                                                           \n                                                                                                         (Informations produits disponibles sur www.magnumicecream.com/fr)"
"Magnum - Beaubourg";;"30";"4 Pots";"Parfums au choix - Amande, Classic ou Blanc - 440 ml                                                           \n                                                                                                         (Informations produits disponibles sur www.magnumicecream.com/fr)"
"Magnum - Beaubourg";;"14";"4 Batonnets";"Parfums au choix - Amande, Classic, Blanc ou Double Caramel.                                              \n                                                                                                          (Informations produits disponibles sur www.magnumicecream.com/fr)"
"Magnum - Gobelins";"drink";"4";"Double Framboise";"Glace à la framboise, enrobage au cacao maigre, sauce à la framboise et second enrobage de chocolat au lait. (Contient: lait)\n                                                                                                                (Informations produit disponibles sur www.magnumicecream.com/fr)"
"Magnum - Gobelins";"drink";"8,5";"Pot Framboise";"Crème glacée framboise avec des éclats et une coque de chocolat noir- 440 ml (Contient: soja, lait)\n                                                                                                                (Informations produit disponibles sur www.magnumicecream.com/fr)    "
"Magnum - Gobelins";"drink";"3,5";"Batonnet Classic";"Glace vanille enrobée de chocolat au lait. (Contient: soja, lait)\n                                                                                                                (Informations produit disponibles sur www.magnumicecream.com/fr)"
"Magnum - Gobelins";"drink";"8,5";"Pot Blanc";"Crème glacée vanille avec des éclats et une coque de chocolat blanc - 440 ml (Contient: lait)\n                                                                                                                (Informations produit disponibles sur www.magnumicecream.com/fr)    "
"Magnum - Gobelins";"drink";"3,5";"Batonnet Amande";"Glace vanille enrobée de chocolat au lait et d'amandes. (Contient: lait, fruits à coque)\n                                                                                                                (Informations produit disponibles sur www.magnumicecream.com/fr)"
"Magnum - Gobelins";"drink";"3,5";"Batonnet Blanc";"Glace vanille enrobée de chocolat blanc. (Contient : lait)\n                                                                                                                (Informations produit disponibles sur www.magnumicecream.com/fr)"
"Magnum - Gobelins";"drink";"8,5";"Pot Classic";"Crème glacée vanille avec des éclats et une coque de chocolat au lait - 440 ml (Contient: soja, lait)\n                                                                                                                (Informations produit disponibles sur www.magnumicecream.com/fr)"
"Magnum - Gobelins";;"19";"2 Grands Pots + 1 Bâtonnet";"2 Grands Pots (440ml) + 1 Bâtonnet "
"Magnum - Gobelins";"drink";"8,5";"Pot Praliné";"Crème glacée chocolat et glace parfum noisette avec chocolat au lait et des morceaux de noisettes caramélisées- 440 ml (Contient: soja, lait, fruits à coque)\n                                                                                                                (Informations produit disponibles sur www.magnumicecream.com/fr)    "
"Magnum - Gobelins";"drink";"4";"Double Chocolat";"Glace au chocolat au lait, enrobage au cacao maigre, sauce au chocolat au lait et second enrobage de chocolat au lait. (Contient: lait)\n                                                                                                                (Informations produit disponibles sur www.magnumicecream.com/fr)"
"Magnum - Gobelins";;"16";"2 Pots";"Parfums au choix - Amande, Classic ou Blanc - 440 ml                                                           \n                                                                                                         (Informations produits disponibles sur www.magnumicecream.com/fr)"
"Magnum - Gobelins";"drink";"4";"Double Caramel";"Glace vanille, enrobage au cacao maigre, sauce caramel et second enrobage de chocolat au lait. (Contient: lait)\n                                                                                                                (Informations produit disponibles sur www.magnumicecream.com/fr)"
"Magnum - Gobelins";"drink";"3,5";"Batonnet Praliné";"Glace noisette et chocolat au lait enrobée de chocolat belge au lait et de morceaux de noisettes caramélisées. (Contient: soja, lait, fruits à coque)\n                                                                                                                (Informations produit disponibles sur www.magnumicecream.com/fr)"
"Magnum - Gobelins";;"14";"4 Batonnets";"Parfums au choix - Amande, Classic, Blanc ou Double Caramel.                                              \n                                                                                                          (Informations produits disponibles sur www.magnumicecream.com/fr)"
"Magnum - Gobelins";;"24";"3 Pots";"Parfums au choix - Amande, Classic ou Blanc - 440 ml                                                           \n                                                                                                         (Informations produits disponibles sur www.magnumicecream.com/fr)"
"Magnum - Gobelins";;"30";"4 Pots";"Parfums au choix - Amande, Classic ou Blanc - 440 ml                                                           \n                                                                                                         (Informations produits disponibles sur www.magnumicecream.com/fr)"
"Magnum - Gobelins";"drink";"8,5";"Pot Amande";"Crème glacée vanille avec des éclats et une coque de chocolat au lait aux amandes - 440 ml (Contient: soja, lait, fruits à coque)\n                                                                                                                (Informations produit disponibles sur www.magnumicecream.com/fr)"
"Magnum - Voltaire";"drink";"8,5";"Pot Framboise";"Crème glacée framboise avec des éclats et une coque de chocolat noir- 440 ml (Contient: soja, lait)\n                                                                                                                (Informations produit disponibles sur www.magnumicecream.com/fr)    "
"Magnum - Voltaire";"drink";"8,5";"Pot Praliné";"Crème glacée chocolat et glace parfum noisette avec chocolat au lait et des morceaux de noisettes caramélisées- 440 ml (Contient: soja, lait, fruits à coque)\n                                                                                                                (Informations produit disponibles sur www.magnumicecream.com/fr)    "
"Magnum - Voltaire";;"14";"4 Batonnets";"Parfums au choix - Amande, Classic, Blanc ou Double Caramel.                                              \n                                                                                                          (Informations produits disponibles sur www.magnumicecream.com/fr)"
"Magnum - Voltaire";"drink";"4";"Double Chocolat";"Glace au chocolat au lait, enrobage au cacao maigre, sauce au chocolat au lait et second enrobage de chocolat au lait. (Contient: lait)\n                                                                                                                (Informations produit disponibles sur www.magnumicecream.com/fr)"
"Magnum - Voltaire";"drink";"3,5";"Batonnet Praliné";"Glace noisette et chocolat au lait enrobée de chocolat belge au lait et de morceaux de noisettes caramélisées. (Contient: soja, lait, fruits à coque)\n                                                                                                                (Informations produit disponibles sur www.magnumicecream.com/fr)"
"Magnum - Voltaire";"drink";"4";"Double Caramel";"Glace vanille, enrobage au cacao maigre, sauce caramel et second enrobage de chocolat au lait. (Contient: lait)\n                                                                                                                (Informations produit disponibles sur www.magnumicecream.com/fr)"
"Magnum - Voltaire";"drink";"4";"Double Framboise";"Glace à la framboise, enrobage au cacao maigre, sauce à la framboise et second enrobage de chocolat au lait. (Contient: lait)\n                                                                                                                (Informations produit disponibles sur www.magnumicecream.com/fr)"
"Magnum - Voltaire";;"19";"2 Grands Pots + 1 Bâtonnet";"2 Grands Pots (440ml) + 1 Bâtonnet "
"Magnum - Voltaire";;"24";"3 Pots";"Parfums au choix - Amande, Classic ou Blanc - 440 ml                                                           \n                                                                                                         (Informations produits disponibles sur www.magnumicecream.com/fr)"
"Magnum - Voltaire";"drink";"3,5";"Batonnet Amande";"Glace vanille enrobée de chocolat au lait et d'amandes. (Contient: lait, fruits à coque)\n                                                                                                                (Informations produit disponibles sur www.magnumicecream.com/fr)"
"Magnum - Voltaire";;"16";"2 Pots";"Parfums au choix - Amande, Classic ou Blanc - 440 ml                                                           \n                                                                                                         (Informations produits disponibles sur www.magnumicecream.com/fr)"
"Magnum - Voltaire";;"30";"4 Pots";"Parfums au choix - Amande, Classic ou Blanc - 440 ml                                                           \n                                                                                                         (Informations produits disponibles sur www.magnumicecream.com/fr)"
"Magnum - Voltaire";"drink";"8,5";"Pot Amande";"Crème glacée vanille avec des éclats et une coque de chocolat au lait aux amandes - 440 ml (Contient: soja, lait, fruits à coque)\n                                                                                                                (Informations produit disponibles sur www.magnumicecream.com/fr)"
"Magnum - Voltaire";"drink";"8,5";"Pot Classic";"Crème glacée vanille avec des éclats et une coque de chocolat au lait - 440 ml (Contient: soja, lait)\n                                                                                                                (Informations produit disponibles sur www.magnumicecream.com/fr)"
"Magnum - Voltaire";"drink";"3,5";"Batonnet Classic";"Glace vanille enrobée de chocolat au lait. (Contient: soja, lait)\n                                                                                                                (Informations produit disponibles sur www.magnumicecream.com/fr)"
"Magnum - Voltaire";"drink";"8,5";"Pot Blanc";"Crème glacée vanille avec des éclats et une coque de chocolat blanc - 440 ml (Contient: lait)\n                                                                                                                (Informations produit disponibles sur www.magnumicecream.com/fr)    "
"Magnum - Voltaire";"drink";"3,5";"Batonnet Blanc";"Glace vanille enrobée de chocolat blanc. (Contient : lait)\n                                                                                                                (Informations produit disponibles sur www.magnumicecream.com/fr)"
"Maison Kayser - Bercy Village";"drink";"3";"San Pellegrino";"50 cl."
"Maison Kayser - Bercy Village";"crepe";"6,3";"Pain aux noix";"Farine de froment, levain liquide, lait et noix. 250g.\nAllergènes: Gluten, lait, fruits à coque et soja."
"Maison Kayser - Bercy Village";"drink";"3,5";"Coca Cola zero";"50 cl."
"Maison Kayser - Bercy Village";;"4,5";"Compote pomme-fraise mara des bois";"Compote de pommes et fraises Mara des bois, granola au miel et canneberges, graines de courge & tournesol, sésame, flocon d'avoine & cannelle.\n Allergènes: Gluten, fruits à coque et sésame."
"Maison Kayser - Bercy Village";;"7,5";"Fruits à tartiner";"Parfum au choix. 240 g."
"Maison Kayser - Bercy Village";"drink";"3,5";"Coca Cola";"50 cl."
"Maison Kayser - Bercy Village";"drink";"3,2";"Cookie chocolat blanc macadamia";"Cookie généreusement garni de gros morceaux de chocolat noir et de noix de pécan.\n Allergènes: Gluten, fruits à coque, lait, œufs et soja."
"Maison Kayser - Bercy Village";"sandwich";"8,5";"Sandwich milanais";"Sandwich chaud: Pain rond, mozzarella, huile d'olive, escalope de dinde milanaise, tomates confites et sauce tomate.\n Allergènes:  Céleri, Gluten, lait et sésame."
"Maison Kayser - Bercy Village";"drink";"2,5";"Vittel";"50 cl."
"Maison Kayser - Bercy Village";"drink";"4,5";"Tarte chocolat noisette";"Ganache au chocolat noir et praliné feuillantine sur une pâte sucrée.\n Allergènes: Gluten, fruits à coque, lait, œuf et soja."
"Maison Kayser - Bercy Village";"salad";"6";"Œuf des beaux jours";"Œuf poché déposé sur son écrin de verdure: petits pois, brocolis, mesclun et mélange de graines. Petite Salade.\nAllergènes: Œuf et Sésame."
"Maison Kayser - Bercy Village";"pasta";"8,5";"La pasta de Chiara";"Pâtes cuites, crème d'artichaut, mozzarella, pousses d'épinard, artichauts, tomate cerise marinée et pignons de pin.\nGrande Salade.\n Allergènes: Gluten, fruits à coque et lait."
"Maison Kayser - Bercy Village";;"4,5";"Tarte au citron";"Tarte au citron sur une base de pâte sablée aux amandes.\n Allergènes: Gluten, lait, œuf, fruits à coque, soja et sulfites."
"Maison Kayser - Bercy Village";"crepe";"3,2";"Torsade aux olives";"Farine de froment, levain liquide, olives vert et noires et huile d'olive, 250 gr.\nAllergènes: Gluten"
"Maison Kayser - Bercy Village";"drink";"4,5";"Eclair chocolat";"Pâte à choux garnie d'un crémeux au chocolat noir.\n Allergènes: Gluten, lait, œuf, soja, et sulfites."
"Maison Kayser - Bercy Village";"salad";"6";"Salade concombre";"Concombre, vinaigrette à la moutarde à l'ancienne et aneth, servie avec petit pain au levain.\nAllergènes: Moutarde et Sulfites."
"Maison Kayser - Bercy Village";"drink";"11";"Pochon d'orangettes";"Ecorces d'oranges effilées et confites enrobées de chocolat noir au pur beurre de cacao. 150 g.\nAllergènes: Lait, soja. "
"Maison Kayser - Bercy Village";"crepe";"3,5";"Boule complète";"Farine complète, farine de froment et levain liquide, 250 gr.\nAllergènes: Gluten"
"Maison Kayser - Bercy Village";"drink";"3,2";"Cookie chocolat noir et noix de pécan";"Cookie généreusement garni de gros morceaux de chocolat blanc et de noix de macadamia.\n Allergènes: Gluten, fruits à coque, lait, œufs et soja."
"Maison Kayser - Bercy Village";"salad";"4,8";"Salade carottes râpées";"Carotte fraîchement râpée servie avec vinaigrette et petit pain au levain \"petite salade\".\nAllergènes: Sulfites."
"Maison Kayser - Bercy Village";"salad";"4,5";"Salade de fruits";"Mangez 5 fruits par jour qui ont un bon goût d'épices, c'est possible!"
"Maison Kayser - Bercy Village";"drink";"3,5";"Coca Cola light";"50 cl."
"Maison Kayser - Bercy Village";"sandwich";"6";"Sandwich poulet cheddar";"Sandwich chaud: Pain ciabatta à l'huile d'olive, poulet, cheddar et crème fraîche.\n Allergènes: Gluten, lait et sésame."
"Maison Kayser - Bercy Village";"drink";"4,5";"Tarte chocolat caramel";"Crème chocolat au lait et caramel, quenelle de crème légère sur une pâte sablée aux amandes, \n Allergènes: Gluten, fruits à coque, lait, œufs et soja."
"Maison Kayser - Bercy Village";"drink";"23";"Coffret mini macarons";"Assortiments variables au gré des saisons, collection automne hiver \"sélection aléatoire de parfums parmi vanille Bourbon, chocolat Grand Cru, framboise, café, caramel beurre salé, pistache, chocolat passion, spéculoos, pistache-griotte, cacahuète et citron-coco. Taille au choix. \nAllergènes pouvant être présents selon l'assortiment: Fruits à coque, lait, œuf, soja, sésame et sulfites."
"Maison Kayser - Bercy Village";"sandwich";"5";"Sandwich mixte";"Baguette au levain, beurre, jambon cuit supérieur et comté. Sandwich froid.\n Allergènes: Gluten, lait et moutarde."
"Maison Kayser - Bercy Village";"salad";"8,5";"Salade baie des anges";"Inspirée de la recette de la vraie salade niçoise où il n’y a que des crudités et d’un mélange thon, mayonnaise et jus de citron surmontée d’un œuf dur.  Grande Salade.\nAllergènes: Céleri, moutarde, œuf, poisson et sulfites."
"Maison Kayser - Bercy Village";"crepe";"6,9";"Pain aux figues";"Farine de froment, levain liquide et figues séchées, 500 gr.\nAllergènes: Gluten"
"Maison Kayser - Bercy Village";;"4,5";"Fromage blanc miel granola";"Fromage blanc 0%, miel toutes fleurs et granola fait maison \"\"sans huile de palme\"\".\n Allergènes: Gluten, lait, fruits à coque, sésame."
"Maison Kayser - Bercy Village";"drink";"11";"Pochon de noisettes enrobées de chocolat";"Noisettes torréfiées enrobées de chocolat au lait ou de chocolat noir au pur beurre de cacao et soja. 150 g.\nAllergènes: Fruits à coque, lait, soja. "
"Maison Kayser - Bercy Village";"drink";"6,3";"Mini viennoiserie \"assortiment\"";"Assortiment de mini viennoiseries \"mini croissants, mini pains au chocolat et mini pains aux raisins. Pour 2 ou 4 personnes.\nAllergènes: Gluten, lait, œufs et soja. "
"Maison Kayser - Bercy Village";"salad";"8,5";"Salade césarine";"Filets de poulet, laitue, parmesan, sauce \"\"caesar\"\" et capsule de croûtons de pain. Grande Salade.\nAllergènes: Gluten, lait, œuf, poisson et soja."
"Maison Kayser - Bercy Village";"drink";"7";"Coffret mini financiers";"Petites bouchées à la poudre d'amandes emblématiques de la maison parfumées à la vanille, au chocolat et à la pistache dans de jolis coffrets. Quantité au choix.\nAllergènes: Gluten, œufs, lait, fruits à coque."
"Maison Kayser - Bercy Village";;"4,5";"Tarte abricot pistache";"Tarte aux abricots rôtis et crème d'amande à la pistache sur une base de pâte sucrée.\n Allergènes: Gluten, fruits à coque, lait, œuf, soja et sulfites."
"Maison Kayser - Bercy Village";"crepe";"2,6";"Pavé aux céréales";"Farine de froment, levain liquide, mélange de graines: sésame, pavot, millet, lin blond, lin brun et tournesol. 250 gr.\nAllergènes: Gluten et Sésame. "
"Maison Kayser - Bercy Village";"drink";"15";"Réglette de mendiants chocolat";"Fins palets de chocolat noir ou de chocolat au lait pur beurre de cacao ou assortiment noir, lait, dulcey, agrémentés d'écorces d'orange confite, d'abricots secs, de noisettes et de pistaches. 150 g.\nAllergènes: Fruits à coque, lait, soja et sulfites. "
"Maison Kayser - Bercy Village";;"3,8";"Jus de fruits frais";"25 cl."
"Maison Kayser - Bercy Village";;"6,8";"Grande brioche aux pralines roses";"Brioche traditionnelle de la région lyonnaise revisitée par la Maison Kayser.\nAllergènes: Gluten, fruits à coque, lait et œufs."
"Maison Kayser - Bercy Village";"drink";"11";"Pochon d'amandes enrobées de chocolat";"Amandes torréfiées enrobées de chocolat au lait ou de chocolat noir au pur beurre de cacao. 150 g.\nAllergènes: Fruits à coque, lait, soja. "
"Maison Kayser - Bercy Village";;"3,3";"Sac en coton";"Maison Kayser, Sac vendu dans son pochon pour qu'il trouve toujours une petite place dans un sac à main ou la poche d'un manteau."
"Maison Kayser - Bercy Village";"drink";"6";"Assortiment de viennoiseries";"Croissant, pain au chocolat et pain aux raisins, réalisés à partir de levain naturel. 3 pièces.\nAllergènes: Gluten, lait, œufs et soja."
"Maison Kayser - Bercy Village";"sandwich";"5,5";"Sandwich rustique";"Pain froment-sarrasin au levain, mayonnaise, poulet et tomates confites. Sandwich froid.\n Allergènes: Gluten,  moutarde et œuf."
"Maison Kayser - Bercy Village";"sandwich";"5,5";"Sandwich thon";"Pain ciabatta à l'huile d'olive, thon mayonnaise, tomates et batavia. Sandwich froid.\n Allergènes: Gluten, moutarde, œuf, poisson et sésame."
"Maison Kayser - Diderot";;"5,9";"Pain aux figues";"Notre pain au levain aux figues séchées.\nAllergènes: Gluten."
"Maison Kayser - Diderot";;"4,5";"Compote pomme-fraise mara des bois";"Compote pomme-fraise Mara des Bois et muesli miel cranberries. Allergènes : Gluten, fruits à coque et sésame.\n Allergènes: Gluten, fruits à coque et sésame."
"Maison Kayser - Diderot";"drink";"11";"Pochon d'amandes enrobées de chocolat";"Amandes torréfiées enrobées de chocolat au lait ou de chocolat noir au pur beurre de cacao et soja. 150g.\nAllergènes: Fruits à coque, lait, soja. "
